No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
522;Sukmajaya;0;0;35;47;350000000;Sederhana
523;Sukmajaya;3;2;80;102;850000000;Menengah
524;Bojongsari;3;2;69;84;850000000;Menengah
525;Sukmajaya;3;2;58;53;680000000;Sederhana
526;Cilodong;3;2;140;306;1900000000;Mewah
527;Sawangan;2;1;45;70;385000000;Sederhana
528;Sukmajaya;4;2;140;102;1200000000;Menengah
529;Sukmajaya;2;1;65;96;395000000;Menengah
530;Sawangan;3;2;52;77;390000000;Sederhana
531;Cimanggis;2;2;45;75;583000000;Sederhana
532;Cipayung;2;1;33;33;218000000;Sederhana
533;Pancoran Mas;2;1;40;61;471525000;Sederhana
534;Cilodong;2;1;30;41;455000000;Sederhana
535;Bojongsari;2;1;70;72;585000000;Sederhana
536;Cilodong;3;2;90;125;675000000;Menengah
537;Beji;4;4;180;110;1350000000;Menengah
538;Cinere;3;2;200;275;2000000000;Mewah
539;Sawangan;2;1;45;102;550000000;Menengah
540;Sukmajaya;3;1;102;102;550000000;Menengah
541;Sukmajaya;3;1;102;102;550000000;Menengah
542;Sawangan;2;1;45;102;550000000;Menengah
543;Sawangan;2;1;45;65;250000000;Sederhana
544;Sukmajaya;3;2;110;220;1450000000;Mewah
545;Pancoran Mas;2;2;60;100;700000000;Menengah
546;Beji;3;2;110;100;1100000000;Menengah
547;Sukmajaya;4;2;104;160;910000000;Menengah
548;Pancoran Mas;2;2;120;72;650000000;Sederhana
549;Cipayung;2;1;35;60;172000000;Sederhana
550;Cinere;4;3;180;121;2200000000;Menengah
551;Sukmajaya;4;2;150;84;700000000;Menengah
552;Sukmajaya;2;1;45;80;550000000;Menengah
553;Sukmajaya;3;2;63;92;420000000;Menengah
554;Beji;2;1;70;95;400000000;Menengah
555;Cipayung;2;1;35;50;170000000;Sederhana
556;Pancoran Mas;3;2;125;151;550000000;Menengah
557;Cilodong;2;1;32;60;275000000;Sederhana
558;Cimanggis;3;2;100;61;700000000;Sederhana
559;Cimanggis;4;3;250;144;850000000;Menengah
560;Sukmajaya;2;1;90;90;450000000;Menengah
561;Sukmajaya;2;2;150;144;1700000000;Menengah
562;Cinere;3;3;100;120;1850000000;Menengah
563;Sukmajaya;2;1;90;96;400000000;Menengah
564;Cinere;3;2;100;60;800000000;Sederhana
565;Sukmajaya;2;1;90;90;495000000;Menengah
566;Sukmajaya;2;1;60;84;500000000;Menengah
567;Sawangan;2;1;36;60;235000000;Sederhana
568;Sukmajaya;2;1;60;60;400000000;Sederhana
569;Cilodong;3;2;70;100;650000000;Menengah
570;Cipayung;2;1;36;60;260000000;Sederhana
571;Cilodong;3;3;110;80;750000000;Menengah
572;Beji;3;2;125;105;1380000000;Menengah
573;Beji;4;5;170;120;1900000000;Menengah
574;Sukmajaya;4;2;124;124;800000000;Menengah
575;Pancoran Mas;6;6;400;800;15000000000;Mewah
576;Beji;4;3;150;100;1400000000;Menengah
577;Cimanggis;3;1;80;66;450000000;Sederhana
578;Pancoran Mas;3;2;54;60;570000000;Sederhana
579;Cilodong;2;1;36;72;352000000;Sederhana
580;Cimanggis;4;4;300;825;6000000000;Mewah
581;Sawangan;2;1;36;32;170000000;Sederhana
582;Cilodong;2;2;83;92;325000000;Menengah
583;Sawangan;2;1;45;60;235000000;Sederhana
584;Sukmajaya;3;2;150;90;680000000;Menengah
585;Sukmajaya;2;1;90;66;560000000;Sederhana
586;Pancoran Mas;3;1;50;89;495000000;Menengah
587;Cilodong;2;2;90;72;425000000;Sederhana
588;Pancoran Mas;2;1;36;50;225000000;Sederhana
589;Cipayung;2;1;36;60;230000000;Sederhana
590;Beji;2;1;40;64;675000000;Sederhana
